planName,skillLevel,goal,equipment,durationMinutes,focus,exercises,exerciseDetails
Intermediate Stamina - 10-20 minutes (None),Intermediate,Stamina,None,14,Stamina,Jumping Jacks;Leg Swings;Butt Kicks;Jump Squats;Plyometric Push-ups;Broad Jumps,"[{""name"": ""Jumping Jacks"", ""duration"": 64, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 60, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 65, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jump Squats"", ""duration"": 70, ""sets"": 3, ""rest"": 30, ""category"": ""power""}, {""name"": ""Plyometric Push-ups"", ""duration"": 44, ""sets"": 2, ""rest"": 30, ""category"": ""power""}, {""name"": ""Broad Jumps"", ""duration"": 65, ""sets"": 3, ""rest"": 30, ""category"": ""power""}]"
Beginner Power - 20+ minutes (Gym),Beginner,Power,Gym,13,Power,Leg Swings;Arm Circles;Butt Kicks;Burpees;Mountain Climbers,"[{""name"": ""Leg Swings"", ""duration"": 57, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 51, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 48, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Burpees"", ""duration"": 74, ""sets"": 3, ""rest"": 39, ""category"": ""power""}, {""name"": ""Mountain Climbers"", ""duration"": 81, ""sets"": 3, ""rest"": 39, ""category"": ""stamina""}]"
Pro Stamina - 5-10 minutes (Kettlebell),Pro,Stamina,Kettlebell,7,Stamina,Arm Circles;Mountain Climbers,"[{""name"": ""Arm Circles"", ""duration"": 111, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 91, ""sets"": 3, ""rest"": 24, ""category"": ""stamina""}]"
Intermediate Endurance - 20+ minutes (None),Intermediate,Endurance,None,17,Endurance,Arm Circles;Jumping Jacks;Tabata Intervals,"[{""name"": ""Arm Circles"", ""duration"": 63, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 76, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Tabata Intervals"", ""duration"": 278, ""sets"": 3, ""rest"": 30, ""category"": ""stamina""}]"
Intermediate Stamina - 5-10 minutes (Kettlebell),Intermediate,Stamina,Kettlebell,4,Stamina,Leg Swings;Plyometric Push-ups,"[{""name"": ""Leg Swings"", ""duration"": 79, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Plyometric Push-ups"", ""duration"": 70, ""sets"": 2, ""rest"": 30, ""category"": ""power""}]"
Pro Stamina - 20+ minutes (Kettlebell),Pro,Stamina,Kettlebell,27,Stamina,Leg Swings;Jumping Jacks;Interval Running;Burpees;Explosive Lunges,"[{""name"": ""Leg Swings"", ""duration"": 101, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 152, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Interval Running"", ""duration"": 308, ""sets"": 3, ""rest"": 24, ""category"": ""stamina""}, {""name"": ""Burpees"", ""duration"": 57, ""sets"": 2, ""rest"": 24, ""category"": ""power""}, {""name"": ""Explosive Lunges"", ""duration"": 120, ""sets"": 2, ""rest"": 24, ""category"": ""power""}]"
Beginner Endurance - 10-20 minutes (Kettlebell),Beginner,Endurance,Kettlebell,6,Endurance,Jumping Jacks;Arm Circles;Butt Kicks;Mountain Climbers,"[{""name"": ""Jumping Jacks"", ""duration"": 62, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 39, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 35, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 49, ""sets"": 3, ""rest"": 39, ""category"": ""stamina""}]"
Pro Endurance - 10-20 minutes (None),Pro,Endurance,None,8,Endurance,Arm Circles;Leg Swings;Mountain Climbers,"[{""name"": ""Arm Circles"", ""duration"": 107, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 104, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 126, ""sets"": 2, ""rest"": 24, ""category"": ""stamina""}]"
Intermediate Endurance - 20+ minutes (Kettlebell),Intermediate,Endurance,Kettlebell,23,Endurance,High Knees;Butt Kicks;Leg Swings;Tabata Intervals;Jogging,"[{""name"": ""High Knees"", ""duration"": 54, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 61, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 70, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Tabata Intervals"", ""duration"": 277, ""sets"": 2, ""rest"": 30, ""category"": ""stamina""}, {""name"": ""Jogging"", ""duration"": 278, ""sets"": 2, ""rest"": 20, ""category"": ""endurance""}]"
Beginner Stamina - 5-10 minutes (None),Beginner,Stamina,None,5,Stamina,Arm Circles;High Knees;Burpees;Jump Squats,"[{""name"": ""Arm Circles"", ""duration"": 46, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 49, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Burpees"", ""duration"": 45, ""sets"": 2, ""rest"": 39, ""category"": ""power""}, {""name"": ""Jump Squats"", ""duration"": 33, ""sets"": 2, ""rest"": 39, ""category"": ""power""}]"
Intermediate Fat Loss - 10-20 minutes (None),Intermediate,Fat Loss,None,16,Fat Loss,High Knees;Leg Swings;Tuck Jumps;Shuttle Runs;Broad Jumps;Jump Squats,"[{""name"": ""High Knees"", ""duration"": 65, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 71, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Tuck Jumps"", ""duration"": 46, ""sets"": 3, ""rest"": 30, ""category"": ""power""}, {""name"": ""Shuttle Runs"", ""duration"": 101, ""sets"": 2, ""rest"": 30, ""category"": ""stamina""}, {""name"": ""Broad Jumps"", ""duration"": 39, ""sets"": 2, ""rest"": 30, ""category"": ""power""}, {""name"": ""Jump Squats"", ""duration"": 72, ""sets"": 3, ""rest"": 30, ""category"": ""power""}]"
Intermediate Power - 20+ minutes (None),Intermediate,Power,None,20,Power,Jumping Jacks;High Knees;Arm Circles;Burpees;Tuck Jumps;Jump Squats,"[{""name"": ""Jumping Jacks"", ""duration"": 107, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 72, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 54, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Burpees"", ""duration"": 111, ""sets"": 4, ""rest"": 30, ""category"": ""power""}, {""name"": ""Tuck Jumps"", ""duration"": 41, ""sets"": 3, ""rest"": 30, ""category"": ""power""}, {""name"": ""Jump Squats"", ""duration"": 37, ""sets"": 4, ""rest"": 30, ""category"": ""power""}]"
Beginner Fat Loss - 10-20 minutes (Gym),Beginner,Fat Loss,Gym,3,Fat Loss,Leg Swings;Jumping Jacks;Arm Circles,"[{""name"": ""Leg Swings"", ""duration"": 54, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 48, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 44, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}]"
Pro Endurance - 20+ minutes (Gym),Pro,Endurance,Gym,22,Endurance,Arm Circles;Jumping Jacks;Battle Ropes;Brisk Walking,"[{""name"": ""Arm Circles"", ""duration"": 63, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 105, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Battle Ropes"", ""duration"": 96, ""sets"": 3, ""rest"": 24, ""category"": ""stamina""}, {""name"": ""Brisk Walking"", ""duration"": 403, ""sets"": 2, ""rest"": 16, ""category"": ""endurance""}]"
Beginner Power - 20+ minutes (Gym),Beginner,Power,Gym,27,Power,Jumping Jacks;Leg Swings;High Knees;Jump Squats;Circuit Training,"[{""name"": ""Jumping Jacks"", ""duration"": 61, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 58, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 49, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jump Squats"", ""duration"": 23, ""sets"": 4, ""rest"": 39, ""category"": ""power""}, {""name"": ""Circuit Training"", ""duration"": 377, ""sets"": 3, ""rest"": 39, ""category"": ""stamina""}]"
Pro Power - 5-10 minutes (None),Pro,Power,None,2,Power,Jumping Jacks,"[{""name"": ""Jumping Jacks"", ""duration"": 154, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}]"
Beginner Power - 20+ minutes (Kettlebell),Beginner,Power,Kettlebell,9,Power,Butt Kicks;High Knees;Leg Swings;Mountain Climbers;Burpees,"[{""name"": ""Butt Kicks"", ""duration"": 59, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 36, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 48, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 48, ""sets"": 3, ""rest"": 39, ""category"": ""stamina""}, {""name"": ""Burpees"", ""duration"": 30, ""sets"": 3, ""rest"": 39, ""category"": ""power""}]"
Pro Endurance - 5-10 minutes (Kettlebell),Pro,Endurance,Kettlebell,2,Endurance,Jumping Jacks,"[{""name"": ""Jumping Jacks"", ""duration"": 118, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}]"
Pro Power - 20+ minutes (Kettlebell),Pro,Power,Kettlebell,27,Power,Jumping Jacks;Arm Circles;Leg Swings;Plyometric Push-ups;Kettlebell Swings,"[{""name"": ""Jumping Jacks"", ""duration"": 110, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 66, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 115, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Plyometric Push-ups"", ""duration"": 87, ""sets"": 3, ""rest"": 24, ""category"": ""power""}, {""name"": ""Kettlebell Swings"", ""duration"": 232, ""sets"": 4, ""rest"": 24, ""category"": ""power""}]"
Pro Power - 20+ minutes (Kettlebell),Pro,Power,Kettlebell,27,Power,Leg Swings;Butt Kicks;Jumping Jacks;Burpees;Plyometric Push-ups;Mountain Climbers,"[{""name"": ""Leg Swings"", ""duration"": 110, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 117, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 113, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Burpees"", ""duration"": 124, ""sets"": 4, ""rest"": 24, ""category"": ""power""}, {""name"": ""Plyometric Push-ups"", ""duration"": 49, ""sets"": 4, ""rest"": 24, ""category"": ""power""}, {""name"": ""Mountain Climbers"", ""duration"": 123, ""sets"": 3, ""rest"": 24, ""category"": ""stamina""}]"
Pro Fat Loss - 5-10 minutes (Kettlebell),Pro,Fat Loss,Kettlebell,8,Fat Loss,Jumping Jacks;Kettlebell HIIT,"[{""name"": ""Jumping Jacks"", ""duration"": 104, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Kettlebell HIIT"", ""duration"": 172, ""sets"": 2, ""rest"": 24, ""category"": ""fatloss""}]"
Intermediate Endurance - 5-10 minutes (Kettlebell),Intermediate,Endurance,Kettlebell,2,Endurance,Arm Circles;Jumping Jacks,"[{""name"": ""Arm Circles"", ""duration"": 48, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 65, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}]"
Pro Power - 20+ minutes (Gym),Pro,Power,Gym,26,Power,High Knees;Arm Circles;Butt Kicks;Medicine Ball Slams;Tuck Jumps;Broad Jumps;Plyometric Push-ups,"[{""name"": ""High Knees"", ""duration"": 89, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 61, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 63, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Medicine Ball Slams"", ""duration"": 114, ""sets"": 3, ""rest"": 24, ""category"": ""power""}, {""name"": ""Tuck Jumps"", ""duration"": 39, ""sets"": 4, ""rest"": 24, ""category"": ""power""}, {""name"": ""Broad Jumps"", ""duration"": 85, ""sets"": 4, ""rest"": 24, ""category"": ""power""}, {""name"": ""Plyometric Push-ups"", ""duration"": 80, ""sets"": 3, ""rest"": 24, ""category"": ""power""}]"
Intermediate Power - 20+ minutes (None),Intermediate,Power,None,12,Power,Leg Swings;Jumping Jacks;Arm Circles;Plyometric Push-ups;Mountain Climbers,"[{""name"": ""Leg Swings"", ""duration"": 78, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 75, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 82, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Plyometric Push-ups"", ""duration"": 31, ""sets"": 4, ""rest"": 30, ""category"": ""power""}, {""name"": ""Mountain Climbers"", ""duration"": 73, ""sets"": 3, ""rest"": 30, ""category"": ""stamina""}]"
Intermediate Stamina - 20+ minutes (Kettlebell),Intermediate,Stamina,Kettlebell,16,Stamina,Jumping Jacks;Leg Swings;High Knees;Plyometric Push-ups;Mountain Climbers;Explosive Lunges,"[{""name"": ""Jumping Jacks"", ""duration"": 112, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 81, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 45, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Plyometric Push-ups"", ""duration"": 70, ""sets"": 2, ""rest"": 30, ""category"": ""power""}, {""name"": ""Mountain Climbers"", ""duration"": 112, ""sets"": 3, ""rest"": 30, ""category"": ""stamina""}, {""name"": ""Explosive Lunges"", ""duration"": 55, ""sets"": 2, ""rest"": 30, ""category"": ""power""}]"
Pro Power - 20+ minutes (Kettlebell),Pro,Power,Kettlebell,19,Power,Leg Swings;Jumping Jacks;Plyometric Push-ups;Mountain Climbers,"[{""name"": ""Leg Swings"", ""duration"": 106, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 135, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Plyometric Push-ups"", ""duration"": 91, ""sets"": 4, ""rest"": 24, ""category"": ""power""}, {""name"": ""Mountain Climbers"", ""duration"": 96, ""sets"": 4, ""rest"": 24, ""category"": ""stamina""}]"
Beginner Fat Loss - 5-10 minutes (None),Beginner,Fat Loss,None,7,Fat Loss,Jumping Jacks;Mountain Climbers,"[{""name"": ""Jumping Jacks"", ""duration"": 83, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 59, ""sets"": 4, ""rest"": 39, ""category"": ""stamina""}]"
Intermediate Stamina - 10-20 minutes (Gym),Intermediate,Stamina,Gym,15,Stamina,Jumping Jacks;Butt Kicks;Explosive Lunges;Mountain Climbers;Jump Squats;Box Jumps,"[{""name"": ""Jumping Jacks"", ""duration"": 82, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 54, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Explosive Lunges"", ""duration"": 118, ""sets"": 2, ""rest"": 30, ""category"": ""power""}, {""name"": ""Mountain Climbers"", ""duration"": 85, ""sets"": 2, ""rest"": 30, ""category"": ""stamina""}, {""name"": ""Jump Squats"", ""duration"": 50, ""sets"": 2, ""rest"": 30, ""category"": ""power""}, {""name"": ""Box Jumps"", ""duration"": 36, ""sets"": 3, ""rest"": 30, ""category"": ""power""}]"
Pro Power - 10-20 minutes (None),Pro,Power,None,9,Power,Arm Circles;Jumping Jacks;Plyometric Push-ups,"[{""name"": ""Arm Circles"", ""duration"": 89, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 143, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Plyometric Push-ups"", ""duration"": 91, ""sets"": 3, ""rest"": 24, ""category"": ""power""}]"
Pro Power - 20+ minutes (Gym),Pro,Power,Gym,28,Power,Jumping Jacks;Arm Circles;Leg Swings;Plyometric Push-ups;Medicine Ball Slams;Kettlebell Swings;Battle Ropes,"[{""name"": ""Jumping Jacks"", ""duration"": 101, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 70, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 88, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Plyometric Push-ups"", ""duration"": 80, ""sets"": 4, ""rest"": 24, ""category"": ""power""}, {""name"": ""Medicine Ball Slams"", ""duration"": 59, ""sets"": 3, ""rest"": 24, ""category"": ""power""}, {""name"": ""Kettlebell Swings"", ""duration"": 101, ""sets"": 4, ""rest"": 24, ""category"": ""power""}, {""name"": ""Battle Ropes"", ""duration"": 59, ""sets"": 4, ""rest"": 24, ""category"": ""stamina""}]"
Pro Fat Loss - 20+ minutes (Kettlebell),Pro,Fat Loss,Kettlebell,27,Fat Loss,Jumping Jacks;High Knees;Jumping Burpees;Jump Rope HIIT;Mountain Climbers;Plyometric Push-ups;Explosive Lunges,"[{""name"": ""Jumping Jacks"", ""duration"": 153, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 85, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Burpees"", ""duration"": 52, ""sets"": 2, ""rest"": 24, ""category"": ""fatloss""}, {""name"": ""Jump Rope HIIT"", ""duration"": 143, ""sets"": 4, ""rest"": 24, ""category"": ""fatloss""}, {""name"": ""Mountain Climbers"", ""duration"": 72, ""sets"": 2, ""rest"": 24, ""category"": ""stamina""}, {""name"": ""Plyometric Push-ups"", ""duration"": 79, ""sets"": 2, ""rest"": 24, ""category"": ""power""}, {""name"": ""Explosive Lunges"", ""duration"": 132, ""sets"": 2, ""rest"": 24, ""category"": ""power""}]"
Beginner Stamina - 20+ minutes (Gym),Beginner,Stamina,Gym,23,Stamina,High Knees;Butt Kicks;Leg Swings;Jump Rope;Rowing Machine,"[{""name"": ""High Knees"", ""duration"": 32, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 49, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 62, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jump Rope"", ""duration"": 151, ""sets"": 3, ""rest"": 39, ""category"": ""endurance""}, {""name"": ""Rowing Machine"", ""duration"": 324, ""sets"": 2, ""rest"": 26, ""category"": ""endurance""}]"
Pro Endurance - 5-10 minutes (Gym),Pro,Endurance,Gym,6,Endurance,Jumping Jacks;Mountain Climbers,"[{""name"": ""Jumping Jacks"", ""duration"": 153, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 111, ""sets"": 2, ""rest"": 24, ""category"": ""stamina""}]"
Pro Fat Loss - 10-20 minutes (None),Pro,Fat Loss,None,16,Fat Loss,Jumping Jacks;Butt Kicks;HIIT Sprints;Broad Jumps,"[{""name"": ""Jumping Jacks"", ""duration"": 79, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 94, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""HIIT Sprints"", ""duration"": 171, ""sets"": 3, ""rest"": 24, ""category"": ""stamina""}, {""name"": ""Broad Jumps"", ""duration"": 52, ""sets"": 3, ""rest"": 24, ""category"": ""power""}]"
Intermediate Endurance - 10-20 minutes (None),Intermediate,Endurance,None,15,Endurance,Jumping Jacks;Butt Kicks;Interval Running,"[{""name"": ""Jumping Jacks"", ""duration"": 67, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Butt Kicks"", ""duration"": 68, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Interval Running"", ""duration"": 368, ""sets"": 2, ""rest"": 30, ""category"": ""stamina""}]"
Intermediate Endurance - 20+ minutes (Kettlebell),Intermediate,Endurance,Kettlebell,26,Endurance,Jumping Jacks;Arm Circles;Tabata Intervals,"[{""name"": ""Jumping Jacks"", ""duration"": 94, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 87, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Tabata Intervals"", ""duration"": 446, ""sets"": 3, ""rest"": 30, ""category"": ""stamina""}]"
Intermediate Stamina - 20+ minutes (Kettlebell),Intermediate,Stamina,Kettlebell,25,Stamina,Jumping Jacks;Leg Swings;High Knees;Fartlek Training,"[{""name"": ""Jumping Jacks"", ""duration"": 92, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 82, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 61, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Fartlek Training"", ""duration"": 619, ""sets"": 2, ""rest"": 30, ""category"": ""stamina""}]"
Beginner Fat Loss - 5-10 minutes (Gym),Beginner,Fat Loss,Gym,7,Fat Loss,Arm Circles;Jumping Jacks;Mountain Climbers,"[{""name"": ""Arm Circles"", ""duration"": 35, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 72, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 54, ""sets"": 4, ""rest"": 39, ""category"": ""stamina""}]"
Beginner Power - 10-20 minutes (Gym),Beginner,Power,Gym,14,Power,Butt Kicks;Leg Swings;High Knees;Jump Squats;Shuttle Runs,"[{""name"": ""Butt Kicks"", ""duration"": 32, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 50, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 44, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jump Squats"", ""duration"": 54, ""sets"": 3, ""rest"": 39, ""category"": ""power""}, {""name"": ""Shuttle Runs"", ""duration"": 86, ""sets"": 4, ""rest"": 39, ""category"": ""stamina""}]"
Beginner Fat Loss - 10-20 minutes (Gym),Beginner,Fat Loss,Gym,13,Fat Loss,Leg Swings;High Knees;Jumping Jacks;Shuttle Runs;Jump Squats,"[{""name"": ""Leg Swings"", ""duration"": 42, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""High Knees"", ""duration"": 47, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 67, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Shuttle Runs"", ""duration"": 103, ""sets"": 4, ""rest"": 39, ""category"": ""stamina""}, {""name"": ""Jump Squats"", ""duration"": 23, ""sets"": 2, ""rest"": 39, ""category"": ""power""}]"
Pro Fat Loss - 5-10 minutes (Kettlebell),Pro,Fat Loss,Kettlebell,8,Fat Loss,Leg Swings;Plyometric Push-ups;Mountain Climbers,"[{""name"": ""Leg Swings"", ""duration"": 78, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Plyometric Push-ups"", ""duration"": 40, ""sets"": 4, ""rest"": 24, ""category"": ""power""}, {""name"": ""Mountain Climbers"", ""duration"": 68, ""sets"": 2, ""rest"": 24, ""category"": ""stamina""}]"
Intermediate Stamina - 5-10 minutes (Kettlebell),Intermediate,Stamina,Kettlebell,8,Stamina,Leg Swings;Mountain Climbers,"[{""name"": ""Leg Swings"", ""duration"": 71, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 117, ""sets"": 3, ""rest"": 30, ""category"": ""stamina""}]"
Beginner Power - 10-20 minutes (None),Beginner,Power,None,10,Power,Butt Kicks;Jumping Jacks;Leg Swings;Burpees;Jump Squats,"[{""name"": ""Butt Kicks"", ""duration"": 31, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 65, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Leg Swings"", ""duration"": 62, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Burpees"", ""duration"": 32, ""sets"": 3, ""rest"": 39, ""category"": ""power""}, {""name"": ""Jump Squats"", ""duration"": 29, ""sets"": 4, ""rest"": 39, ""category"": ""power""}]"
Beginner Endurance - 20+ minutes (Kettlebell),Beginner,Endurance,Kettlebell,12,Endurance,Arm Circles;Jumping Jacks;Brisk Walking,"[{""name"": ""Arm Circles"", ""duration"": 39, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 78, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Brisk Walking"", ""duration"": 303, ""sets"": 2, ""rest"": 26, ""category"": ""endurance""}]"
Pro Stamina - 5-10 minutes (None),Pro,Stamina,None,6,Stamina,High Knees;Mountain Climbers,"[{""name"": ""High Knees"", ""duration"": 68, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Mountain Climbers"", ""duration"": 78, ""sets"": 3, ""rest"": 24, ""category"": ""stamina""}]"
Beginner Fat Loss - 20+ minutes (Kettlebell),Beginner,Fat Loss,Kettlebell,23,Fat Loss,Leg Swings;Arm Circles;Jumping Jacks;Circuit Training,"[{""name"": ""Leg Swings"", ""duration"": 56, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Arm Circles"", ""duration"": 49, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Jumping Jacks"", ""duration"": 56, ""sets"": 1, ""rest"": 15, ""category"": ""warmup""}, {""name"": ""Circuit Training"", ""duration"": 279, ""sets"": 4, ""rest"": 39, ""category"": ""stamina""}]"
